"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 24, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Nov 23, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Nov 22, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Nov 21, 2017","521.00","521.00","521.00","521.00","0.01K","0.77%"
"Nov 20, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 17, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 16, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 15, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 14, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 13, 2017","517.00","517.00","517.00","517.00","-","0.00%"
"Nov 10, 2017","517.00","517.00","517.00","517.00","-","-0.39%"
"Nov 09, 2017","519.00","519.00","519.00","519.00","-","-0.57%"
"Nov 08, 2017","522.00","522.00","522.00","522.00","-","0.00%"
"Nov 07, 2017","522.00","522.00","522.00","522.00","-","0.00%"
"Nov 06, 2017","522.00","522.00","522.00","522.00","-","0.00%"
"Nov 03, 2017","522.00","522.00","522.00","522.00","0.05K","-0.76%"
"Nov 02, 2017","526.00","526.00","526.00","526.00","-","0.00%"
"Nov 01, 2017","526.00","526.00","526.00","526.00","-","0.00%"
"Oct 31, 2017","526.00","526.00","526.00","526.00","0.01K","0.67%"
"Oct 30, 2017","522.50","522.50","522.50","522.50","-","0.00%"
"Oct 27, 2017","522.50","522.50","522.50","522.50","0.02K","-0.85%"
"Oct 26, 2017","527.00","527.00","527.00","527.00","0.06K","2.13%"
"Oct 25, 2017","516.00","516.00","516.00","516.00","0.00K","-0.39%"
"Oct 24, 2017","518.00","518.00","518.00","518.00","-","0.00%"
"Oct 23, 2017","518.00","518.00","518.00","518.00","-","0.00%"
"Oct 20, 2017","518.00","518.00","518.00","518.00","-","0.00%"
"Oct 19, 2017","518.00","518.00","518.00","518.00","-","0.00%"
"Oct 18, 2017","518.00","518.00","518.00","518.00","-","-0.38%"
"Oct 17, 2017","520.00","520.00","520.00","520.00","-","-0.19%"
"Oct 16, 2017","521.00","521.00","521.00","521.00","-","-0.38%"
"Oct 13, 2017","523.00","523.00","523.00","523.00","-","0.00%"
"Oct 12, 2017","523.00","523.00","523.00","523.00","0.55K","1.36%"
"Oct 11, 2017","516.00","516.00","516.00","516.00","0.01K","-1.71%"
"Oct 10, 2017","525.00","525.00","525.00","525.00","0.06K","1.74%"
"Oct 09, 2017","516.00","516.00","516.00","516.00","0.03K","0.00%"
"Oct 06, 2017","516.00","516.00","516.00","516.00","-","0.00%"
"Oct 05, 2017","516.00","516.00","516.00","516.00","-","0.00%"
"Oct 04, 2017","516.00","516.00","516.00","516.00","-","-1.71%"
"Oct 03, 2017","525.00","525.00","525.00","525.00","0.06K","0.00%"
"Oct 02, 2017","525.00","525.00","525.00","525.00","-","-0.94%"
"Sep 29, 2017","530.00","530.00","530.00","530.00","-","0.00%"
"Sep 28, 2017","530.00","530.00","530.00","530.00","0.00K","-2.75%"
"Sep 27, 2017","545.00","545.00","545.00","545.00","-","0.00%"
