Date,Price,Open,High,Low,Vol.,Change %
15-Sep-14,102.61,102.83,102.83,102.19,38.15K,-0.21%
12-Sep-14,102.83,103.44,103.44,102.55,49.10K,-0.59%
11-Sep-14,103.44,103.32,103.44,103.01,60.27K,0.21%
10-Sep-14,103.22,103.6,103.6,102.76,47.19K,-0.48%
9-Sep-14,103.72,103.72,103.85,103.48,68.19K,0.22%
5-Sep-14,103.49,103.09,103.54,103.01,90.52K,0.45%
4-Sep-14,103.03,102.77,103.05,102.6,53.18K,0.25%
3-Sep-14,102.77,102.64,102.87,102.52,48.98K,0.13%
2-Sep-14,102.64,102.95,102.95,102.2,56.17K,-0.20%
1-Sep-14,102.85,102.82,103.12,102.7,87.72K,0.04%
29-Aug-14,102.81,103.04,103.16,102.6,94.36K,-0.24%
28-Aug-14,103.06,103.44,103.45,102.77,63.10K,-0.41%
27-Aug-14,103.48,103.52,103.95,103,126.19K,0.07%
26-Aug-14,103.41,102.82,103.54,102.81,141.27K,0.40%
25-Aug-14,103,102.53,103.08,102.43,74.76K,0.24%
22-Aug-14,102.75,101.86,102.8,101.8,94.94K,0.93%
21-Aug-14,101.8,101.72,102,101.45,90.98K,0.10%
20-Aug-14,101.7,100.87,101.7,100.63,63.61K,0.83%
19-Aug-14,100.86,100.28,100.86,100.18,55.35K,0.86%
18-Aug-14,100,100.32,100.32,99.64,57.89K,-0.15%
15-Aug-14,100.15,99.94,100.15,99.46,82.25K,0.24%
14-Aug-14,99.91,100.46,100.83,99.77,74.20K,-1.62%
13-Aug-14,101.56,100.87,101.68,100.82,96.88K,0.73%
12-Aug-14,100.82,100.58,100.95,100.05,70.80K,0.57%
11-Aug-14,100.25,100.33,100.62,100.2,43.72K,0.59%
8-Aug-14,99.66,100.35,100.47,99.44,47.64K,-0.72%
7-Aug-14,100.38,99.82,100.38,99.66,52.57K,0.84%
6-Aug-14,99.54,100.26,100.39,99.23,74.70K,-1.08%
5-Aug-14,100.63,102.25,102.33,100.48,125.21K,-1.76%
4-Aug-14,102.43,101.26,102.75,101.26,186.47K,1.41%
1-Aug-14,101.01,100.37,101.69,100.11,66.74K,0.17%
31-Jul-14,100.84,101.82,101.83,100.82,48.78K,-0.82%
30-Jul-14,101.67,101.18,101.68,101.02,67.71K,0.50%
29-Jul-14,101.16,100.92,101.55,100.64,91.81K,0.56%
28-Jul-14,100.6,99.3,100.65,99.3,86.55K,1.32%
25-Jul-14,99.29,98.88,99.32,98.75,37.20K,0.41%
24-Jul-14,98.88,98.59,98.88,98.43,37.07K,0.26%
23-Jul-14,98.62,98.25,98.62,98.08,44.00K,0.00%
