ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-04-23,99.76671025963056,74.5120755373901,76.7574835843979,99.23759890438241,100.24797309517791,-20.4738318571059,-20.4738318571059,-20.4738318571059,-16.886983092989013,-16.886983092989013,-16.886983092989013,13.768435460020731,13.768435460020731,13.768435460020731,-24.09719277366286,-24.09719277366286,-24.09719277366286,-23.59237949007418,-23.59237949007418,-23.59237949007418,-0.5453087274522908,-0.5453087274522908,-0.5453087274522908,0.04049544386360886,0.04049544386360886,0.04049544386360886,0.0,0.0,0.0,75.6695174859677
2020-04-24,99.77106270667699,75.34953839485394,77.70675309641649,99.23392658419034,100.25532895429049,-19.933766218351483,-19.933766218351483,-19.933766218351483,-16.226088783215722,-16.226088783215722,-16.226088783215722,13.41663316950696,13.41663316950696,13.41663316950696,-23.254587872824565,-23.254587872824565,-23.254587872824565,-22.743221832060247,-22.743221832060247,-22.743221832060247,-0.5401923331957941,-0.5401923331957941,-0.5401923331957941,0.02882629243147582,0.02882629243147582,0.02882629243147582,0.0,0.0,0.0,76.51647483385241
2020-04-27,99.78412004781629,75.00731814290124,77.34724797471806,99.22257131932838,100.2907534380581,-20.334460079362824,-20.334460079362824,-20.334460079362824,-16.184782888854897,-16.184782888854897,-16.184782888854897,13.483010960169944,13.483010960169944,13.483010960169944,-23.605424534234924,-23.605424534234924,-23.605424534234924,-23.03623200804778,-23.03623200804778,-23.03623200804778,-0.5580997562641803,-0.5580997562641803,-0.5580997562641803,-0.011092769922966194,-0.011092769922966194,-0.011092769922966194,0.0,0.0,0.0,76.17869551358136
2020-04-28,99.78847249486272,76.70791641985737,79.08037040033456,99.22029956448806,100.30291484684598,-19.019138926912575,-19.019138926912575,-19.019138926912575,-15.87911927058475,-15.87911927058475,-15.87911927058475,13.542750971766612,13.542750971766612,13.542750971766612,-21.817419469671528,-21.817419469671528,-21.817419469671528,-21.355507225730715,-21.355507225730715,-21.355507225730715,-0.4363203626262844,-0.4363203626262844,-0.4363203626262844,-0.025591881314524077,-0.025591881314524077,-0.025591881314524077,0.0,0.0,0.0,77.9710530251912
2020-04-29,99.79282494190915,77.06766666583043,79.3938960697831,99.21400944125858,100.32017268781073,-18.749106107535372,-18.749106107535372,-18.749106107535372,-14.582114187654687,-14.582114187654687,-14.582114187654687,12.334675181700472,12.334675181700472,12.334675181700472,-21.541690760832946,-21.541690760832946,-21.541690760832946,-20.996545113489585,-20.996545113489585,-20.996545113489585,-0.5047506353644697,-0.5047506353644697,-0.5047506353644697,-0.04039501197888838,-0.04039501197888838,-0.04039501197888838,0.0,0.0,0.0,78.2511341810762
2020-04-30,99.79717738895557,78.02901956620083,80.4074100383082,99.20866685750785,100.33468331715919,-17.860611024423264,-17.860611024423264,-17.860611024423264,-14.259928211640212,-14.259928211640212,-14.259928211640212,12.241746274772302,12.241746274772302,12.241746274772302,-20.479393482633363,-20.479393482633363,-20.479393482633363,-19.878792961291175,-19.878792961291175,-19.878792961291175,-0.545308727447313,-0.545308727447313,-0.545308727447313,-0.0552917938948718,-0.0552917938948718,-0.0552917938948718,0.0,0.0,0.0,79.3177839063222
2020-05-04,99.81458717714129,79.40702337154315,81.75589125990454,99.20224487346817,100.37866045917823,-16.7717690108055,-16.7717690108055,-16.7717690108055,-13.103363169536959,-13.103363169536959,-13.103363169536959,11.312457205490647,11.312457205490647,11.312457205490647,-19.231910751273695,-19.231910751273695,-19.231910751273695,-18.56267497485181,-18.56267497485181,-18.56267497485181,-0.5580997562652703,-0.5580997562652703,-0.5580997562652703,-0.11113602015661289,-0.11113602015661289,-0.11113602015661289,0.0,0.0,0.0,80.58267642586759
2020-05-05,99.81893962418772,77.29175256798065,79.53016316018098,99.2005671942037,100.38836261827518,-18.209040468780962,-18.209040468780962,-18.209040468780962,-14.35906235810621,-14.35906235810621,-14.35906235810621,11.770463961065166,11.770463961065166,11.770463961065166,-21.356916906091172,-21.356916906091172,-21.356916906091172,-20.797638865822005,-20.797638865822005,-20.797638865822005,-0.43632036263355345,-0.43632036263355345,-0.43632036263355345,-0.12295767763561322,-0.12295767763561322,-0.12295767763561322,0.0,0.0,0.0,78.46202271809655
2020-05-06,99.82329207123415,78.99069685599692,81.41547686124157,99.19877892510526,100.4005741366839,-16.972115941311174,-16.972115941311174,-16.972115941311174,-13.706429227205078,-13.706429227205078,-13.706429227205078,11.743912844799988,11.743912844799988,11.743912844799988,-19.572847929503506,-19.572847929503506,-19.572847929503506,-18.934632323716265,-18.934632323716265,-18.934632323716265,-0.504750635369488,-0.504750635369488,-0.504750635369488,-0.13346497041775301,-0.13346497041775301,-0.13346497041775301,0.0,0.0,0.0,80.25044414173064
2020-05-07,99.8276445182806,78.01851425412138,80.44414721239278,99.19574761364657,100.41308952937838,-17.30312391345099,-17.30312391345099,-17.30312391345099,-13.623817438483425,-13.623817438483425,-13.623817438483425,11.066859380037641,11.066859380037641,11.066859380037641,-20.547849163288607,-20.547849163288607,-20.547849163288607,-19.860081971896772,-19.860081971896772,-19.860081971896772,-0.5453087274498131,-0.5453087274498131,-0.5453087274498131,-0.14245846394202358,-0.14245846394202358,-0.14245846394202358,0.0,0.0,0.0,79.27979535499199
2020-05-08,99.83199696532702,78.23999811915627,80.67845967027897,99.19211490658384,100.42017731078941,-17.642842621699717,-17.642842621699717,-17.642842621699717,-13.632078617355578,-13.632078617355578,-13.632078617355578,11.624432821606622,11.624432821606622,11.624432821606622,-20.340446547470222,-20.340446547470222,-20.340446547470222,-19.650488417448674,-19.650488417448674,-19.650488417448674,-0.5401923331934533,-0.5401923331934533,-0.5401923331934533,-0.1497657968280944,-0.1497657968280944,-0.1497657968280944,0.0,0.0,0.0,79.4915504178568
2020-05-11,99.84505430646631,78.85485546167843,81.17167158960703,99.1817599106099,100.45102936873663,-17.2857024412331,-17.2857024412331,-17.2857024412331,-13.384243251190602,-13.384243251190602,-13.384243251190602,11.538141693744763,11.538141693744763,11.538141693744763,-19.85026744479244,-19.85026744479244,-19.85026744479244,-19.13180399867894,-19.13180399867894,-19.13180399867894,-0.5580997562695553,-0.5580997562695553,-0.5580997562695553,-0.1603636898439442,-0.1603636898439442,-0.1603636898439442,0.0,0.0,0.0,79.99478686167387
