id,c_name,c_date,c_price,c_open,c_high,c_low
5309,道瓊鋼鐵指數,2016-05-20,182.15,182.66,184.24,181.41
5310,道瓊鋼鐵指數,2016-05-19,182.37,179.7,183.12,177.41
5311,道瓊鋼鐵指數,2016-05-18,179.7,185.36,185.78,178.86
5312,道瓊鋼鐵指數,2016-05-17,185.45,189.24,189.33,184.53
5313,道瓊鋼鐵指數,2016-05-16,189.24,187.07,192.63,187.07
5314,道瓊鋼鐵指數,2016-05-13,186.77,187.62,189.33,185.34
5315,道瓊鋼鐵指數,2016-05-12,187.73,190.44,192.12,186.92
5316,道瓊鋼鐵指數,2016-05-11,190.36,191.1,193.49,189.21
5317,道瓊鋼鐵指數,2016-05-10,191.07,185.81,191.13,185.81
5318,道瓊鋼鐵指數,2016-05-09,185.7,196.45,196.45,185.15
5319,道瓊鋼鐵指數,2016-05-06,197.07,195.43,198.11,193.18
5320,道瓊鋼鐵指數,2016-05-05,195.58,196.23,198.86,194.13
5321,道瓊鋼鐵指數,2016-05-04,195.99,195.96,198.39,193.83
5322,道瓊鋼鐵指數,2016-05-03,196.28,203.45,203.45,194.06
5323,道瓊鋼鐵指數,2016-05-02,203.45,200.98,203.92,199.2
5324,道瓊鋼鐵指數,2016-04-29,200.98,199.99,202.81,198.1
5325,道瓊鋼鐵指數,2016-04-28,199.7,202.26,205.36,199.18
5326,道瓊鋼鐵指數,2016-04-27,202.23,197.67,202.36,194.88
5327,道瓊鋼鐵指數,2016-04-26,198.37,196.92,198.71,192.38
5328,道瓊鋼鐵指數,2016-04-25,196.68,199.44,199.44,195.26
5329,道瓊鋼鐵指數,2016-04-22,199.82,199.97,203.47,198.95
5330,道瓊鋼鐵指數,2016-04-21,200.58,202.48,203.17,197.89
5331,道瓊鋼鐵指數,2016-04-20,202.42,203.41,204.43,200.73
5332,道瓊鋼鐵指數,2016-04-19,203.05,200.42,205.01,200.42
5333,道瓊鋼鐵指數,2016-04-18,200.34,199.01,201.13,197.6
5334,道瓊鋼鐵指數,2016-04-15,199.48,197.35,199.53,196.22
5335,道瓊鋼鐵指數,2016-04-14,197.84,197.23,198.4,196.01
5336,道瓊鋼鐵指數,2016-04-13,197.19,191.32,198.34,191.32
5337,道瓊鋼鐵指數,2016-04-12,191.32,189.9,192.0,188.4
5338,道瓊鋼鐵指數,2016-04-11,189.95,187.7,192.22,187.7
5339,道瓊鋼鐵指數,2016-04-08,187.53,183.5,188.83,183.5
5340,道瓊鋼鐵指數,2016-04-07,183.37,186.8,186.8,182.71
5341,道瓊鋼鐵指數,2016-04-06,186.88,185.35,187.29,183.55
5342,道瓊鋼鐵指數,2016-04-05,185.41,184.84,187.04,184.38
5343,道瓊鋼鐵指數,2016-04-04,185.26,189.7,190.59,185.01
5344,道瓊鋼鐵指數,2016-04-01,189.77,186.69,189.78,185.18
5345,道瓊鋼鐵指數,2016-03-31,187.5,190.9,191.08,187.19
5346,道瓊鋼鐵指數,2016-03-30,191.13,189.09,191.9,188.61
5347,道瓊鋼鐵指數,2016-03-29,188.31,185.63,188.36,182.42
5348,道瓊鋼鐵指數,2016-03-28,185.73,185.15,187.07,182.95
5349,道瓊鋼鐵指數,2016-03-24,185.29,182.1,185.31,180.28
5350,道瓊鋼鐵指數,2016-03-23,182.1,186.22,187.04,181.67
5351,道瓊鋼鐵指數,2016-03-22,186.4,185.36,187.34,183.42
5352,道瓊鋼鐵指數,2016-03-21,185.78,187.03,187.03,182.84
5353,道瓊鋼鐵指數,2016-03-18,187.07,186.77,190.36,185.74
5354,道瓊鋼鐵指數,2016-03-17,186.58,181.67,186.94,179.61
5355,道瓊鋼鐵指數,2016-03-16,181.56,177.24,182.09,175.64
5356,道瓊鋼鐵指數,2016-03-15,177.41,178.22,178.79,174.64
5357,道瓊鋼鐵指數,2016-03-14,178.55,178.63,180.62,175.55
5358,道瓊鋼鐵指數,2016-03-11,179.12,178.76,180.69,175.54
5359,道瓊鋼鐵指數,2016-03-10,178.03,171.93,178.09,171.05
5360,道瓊鋼鐵指數,2016-03-09,171.69,173.03,174.39,169.8
5361,道瓊鋼鐵指數,2016-03-08,172.73,176.87,177.09,172.19
5362,道瓊鋼鐵指數,2016-03-07,176.87,169.72,176.88,169.67
5363,道瓊鋼鐵指數,2016-03-04,169.47,169.74,173.77,167.17
5364,道瓊鋼鐵指數,2016-03-03,169.54,168.6,172.1,168.58
5365,道瓊鋼鐵指數,2016-03-02,168.76,160.23,168.93,160.23
5366,道瓊鋼鐵指數,2016-03-01,160.14,154.17,160.89,154.17
5367,道瓊鋼鐵指數,2016-02-29,154.17,153.33,155.69,151.9
5368,道瓊鋼鐵指數,2016-02-26,153.11,152.24,155.0,152.24
5369,道瓊鋼鐵指數,2016-02-25,152.06,149.53,152.07,148.72
5370,道瓊鋼鐵指數,2016-02-24,149.55,148.22,149.77,144.1
5371,道瓊鋼鐵指數,2016-02-23,148.99,152.87,152.87,148.74
