c_name,c_date,c_price,c_open,c_high,c_low
道瓊鋼鐵指數,2019-11-05,238.74,241.52,242.32,238.42
道瓊鋼鐵指數,2019-11-04,239.69,240.02,240.97,237.13
道瓊鋼鐵指數,2019-11-01,237.39,232.99,239.96,232.99
道瓊鋼鐵指數,2019-10-31,229.28,228.48,230.92,226.8
道瓊鋼鐵指數,2019-10-30,230.76,231.22,231.67,228.82
道瓊鋼鐵指數,2019-10-29,233.55,232.05,235.53,231.99
道瓊鋼鐵指數,2019-10-28,233.22,229.86,234.43,229.86
道瓊鋼鐵指數,2019-10-25,228.63,224.71,230.18,224.51
道瓊鋼鐵指數,2019-10-24,224.1,223.42,224.72,220.17
道瓊鋼鐵指數,2019-10-23,219.75,220.57,220.78,217.51
道瓊鋼鐵指數,2019-10-22,220.35,215.83,220.83,213.85
道瓊鋼鐵指數,2019-10-21,215.51,220.06,221.57,215.43
道瓊鋼鐵指數,2019-10-18,216.08,216.98,218.78,215.82
道瓊鋼鐵指數,2019-10-17,216.62,217.93,219.16,213.94
道瓊鋼鐵指數,2019-10-16,216.09,219.22,222.26,214.76
道瓊鋼鐵指數,2019-10-15,221.45,217.28,224.19,216.18
道瓊鋼鐵指數,2019-10-14,217.97,218.78,219.71,217.1
道瓊鋼鐵指數,2019-10-11,222.15,216.25,223.77,216.2
道瓊鋼鐵指數,2019-10-10,212.62,209.15,213.17,208.62
道瓊鋼鐵指數,2019-10-09,206.96,208.57,209.04,204.54
道瓊鋼鐵指數,2019-10-08,207.02,208.34,209.44,206.82
道瓊鋼鐵指數,2019-10-07,210.62,212.16,214.38,210.04
道瓊鋼鐵指數,2019-10-04,212.58,210.67,212.7,209.73
道瓊鋼鐵指數,2019-10-03,210.25,207.56,210.4,204.78
道瓊鋼鐵指數,2019-10-02,208.73,211.09,211.89,207.09
道瓊鋼鐵指數,2019-10-01,214.25,218.47,223.5,213.96
道瓊鋼鐵指數,2019-09-30,216.36,213.0,217.46,211.98
道瓊鋼鐵指數,2019-09-27,213.53,213.32,215.55,211.46
道瓊鋼鐵指數,2019-09-26,211.75,216.74,216.74,210.15
道瓊鋼鐵指數,2019-09-25,219.25,213.24,219.57,212.69
道瓊鋼鐵指數,2019-09-24,214.03,221.3,221.6,213.12
道瓊鋼鐵指數,2019-09-23,222.18,217.22,223.56,216.17
道瓊鋼鐵指數,2019-09-20,220.87,223.37,224.98,219.73
道瓊鋼鐵指數,2019-09-19,223.38,221.16,225.57,220.45
道瓊鋼鐵指數,2019-09-18,225.25,225.89,227.73,222.65
道瓊鋼鐵指數,2019-09-17,227.47,225.7,227.92,222.73
道瓊鋼鐵指數,2019-09-16,229.05,225.56,231.08,225.34
道瓊鋼鐵指數,2019-09-13,229.51,233.03,233.23,229.22
道瓊鋼鐵指數,2019-09-12,229.67,229.63,230.44,224.09
道瓊鋼鐵指數,2019-09-11,229.05,224.28,229.23,220.04
道瓊鋼鐵指數,2019-09-10,223.68,216.81,223.73,215.03
道瓊鋼鐵指數,2019-09-09,215.72,211.3,215.88,211.14
道瓊鋼鐵指數,2019-09-06,209.68,212.45,212.77,208.93
道瓊鋼鐵指數,2019-09-05,211.88,210.28,214.2,210.27
道瓊鋼鐵指數,2019-09-04,207.29,205.7,207.73,204.6
道瓊鋼鐵指數,2019-09-03,202.79,203.05,203.49,200.31
道瓊鋼鐵指數,2019-08-30,205.86,207.14,208.36,204.9
道瓊鋼鐵指數,2019-08-29,205.02,202.61,206.03,202.61
道瓊鋼鐵指數,2019-08-28,199.69,194.59,200.48,194.26
道瓊鋼鐵指數,2019-08-27,195.71,201.26,201.26,195.65
道瓊鋼鐵指數,2019-08-26,200.02,200.19,201.68,198.17
道瓊鋼鐵指數,2019-08-23,198.68,203.77,205.49,198.02
道瓊鋼鐵指數,2019-08-22,205.99,208.42,208.6,205.23
道瓊鋼鐵指數,2019-08-21,207.44,210.04,210.33,207.03
道瓊鋼鐵指數,2019-08-20,207.46,208.77,209.87,206.74
道瓊鋼鐵指數,2019-08-19,209.8,208.22,210.8,208.02
道瓊鋼鐵指數,2019-08-16,204.01,200.3,205.52,200.09
道瓊鋼鐵指數,2019-08-15,199.16,203.02,203.13,197.46
