Date,Price,Open,High,Low,Vol.,Change %
8-Feb-18,563,563,563,563,0.02K,0.54%
7-Feb-18,563,560,560,560,-,0.00%
6-Feb-18,560,560,560,560,0.03K,3.70%
5-Feb-18,560,540,540,540,-,0.00%
2-Feb-18,540,540,540,540,0.03K,-4.39%
1-Feb-18,540,564.8,564.8,564.8,-,0.14%
31-Jan-18,564.8,564,564,564,-,0.00%
30-Jan-18,564,564,564,564,0.27K,0.00%
29-Jan-18,564,564,564,564,0.05K,-0.18%
26-Jan-18,564,565,565,565,0.02K,0.18%
25-Jan-18,565,564,564,564,-,0.00%
24-Jan-18,564,564,564,564,-,0.00%
23-Jan-18,564,564,564,564,-,0.00%
22-Jan-18,564,564,564,564,-,0.00%
19-Jan-18,564,564,564,564,-,0.00%
18-Jan-18,564,564,564,564,-,0.00%
17-Jan-18,564,564,564,564,0.09K,0.00%
16-Jan-18,564,564,564,564,0.08K,-1.66%
15-Jan-18,564,573.5,573.5,573.5,-,0.00%
12-Jan-18,573.5,573.5,573.5,573.5,-,0.00%
11-Jan-18,573.5,573.5,573.5,573.5,0.05K,1.15%
10-Jan-18,573.5,567,567,567,-,0.53%
9-Jan-18,567,564,564,564,-,0.53%
8-Jan-18,564,561,561,561,-,0.00%
5-Jan-18,561,561,561,561,-,0.00%
4-Jan-18,561,561,561,561,-,0.36%
3-Jan-18,561,559,559,559,-,0.00%
2-Jan-18,559,559,559,559,-,0.00%
29-Dec-17,559,559,559,559,-,1.54%
28-Dec-17,559,550.5,550.5,550.5,-,0.00%
27-Dec-17,550.5,550.5,550.5,550.5,-,0.00%
22-Dec-17,550.5,550.5,550.5,550.5,-,0.00%
21-Dec-17,550.5,550.5,550.5,550.5,-,0.00%
20-Dec-17,550.5,550.5,550.5,550.5,-,0.00%
19-Dec-17,550.5,550.5,550.5,550.5,-,0.00%
18-Dec-17,550.5,550.5,550.5,550.5,-,0.27%
15-Dec-17,550.5,549,549,549,-,0.00%
14-Dec-17,549,549,549,549,-,0.00%
13-Dec-17,549,549,549,549,-,0.00%
12-Dec-17,549,549,549,549,0.03K,-1.08%
11-Dec-17,549,555,555,555,-,0.00%
8-Dec-17,555,555,555,555,-,0.00%
7-Dec-17,555,555,555,555,-,0.00%
6-Dec-17,555,555,555,555,-,0.00%
5-Dec-17,555,555,555,555,-,0.00%
4-Dec-17,555,555,555,555,-,0.00%
1-Dec-17,555,555,555,555,0.21K,6.73%
